S.No,STATE,DISTRICT,Total Rainfall (mm),Recharge Worthy Area (ha),Hilly Area (ha),Total Geographical Area (ha),Goundwater Recharge (ham) - Total Rainfall Recharge,Goundwater Recharge (ham) - Canals,Ground Water Recharge (ham) - Surface Water Irrigation,Ground Water Recharge (ham) - Total Ground Water Irrigration,Ground Water Recharge (ham) - Tanks and Ponds,Ground Water Recharge (ham) - Water Conservation Structure,Ground Water Recharge (ham) - Total,Annual Ground water Recharge (ham),Environmental Flows (ham),Annual Extractable Ground water Resource (ham),Ground Water Extraction for all uses (ham) - Domestic,Ground Water Extraction for all uses (ham) - Industrial,Ground Water Extraction for all uses (ham) - Irrigation,Ground Water Extraction for all uses (ham) - Total,Stage of Ground Water Extraction (%) ,Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),Net Annual Ground Water Availability for Future Use (ham),In-Storage Unconfined Ground Water Resources(ham) - Fresh,In-Storage Unconfined Ground Water Resources(ham) - Saline,Total Ground Water Availability in Unconfined Aquifier (ham) - Fresh,Total Ground Water Availability in Unconfined Aquifier (ham) - Saline,Total Ground Water Availability in the area (ham) - Fresh,Total Ground Water Availability in the area (ham) - Saline
300,KARNATAKA,Yadgir,837,515282,12217,527499,23253,1208,23648,3400,2906,5558,59975,59975,5997,53977,3140,1173,16233,20545,38,3989,33553,0,0,53977,0,53977,0
301,KERALA,ALAPPUZHA,2689,141403,0,141403,31969,0,5971,883,149,0,38972,38972,3259,35713,9283,263,3737,13283,37,9382,22331,0,0,35713,0,35713,0
302,KERALA,ERNAKULAM,3146,226948,67500,294447,40152,0,3421,2180,17,207,45977,45977,4512,41464,9449,262,7933,17644,43,10064,23205,0,0,41464,0,41464,0
303,KERALA,IDUKKI,2922,108891,326914,435805,13923,0,7298,1528,8,28,22784,22784,2278,20506,4058,13,6066,10138,49,4058,10368,0,0,20506,0,20506,0
304,KERALA,KANNUR,3277,232396,64400,296796,38292,0,1366,2325,193,331,42507,42507,4251,38256,8909,48,8413,17370,45,9411,20384,0,0,38256,0,38256,0
305,KERALA,KASARGOD,3453,164830,31300,196130,26449,0,2239,3957,7,2055,34709,34709,3471,31238,5160,5,16504,21669,69,5671,9058,0,0,31238,0,31238,0
306,KERALA,KOLLAM,2361,211200,37900,249100,32102,0,1091,1438,929,266,35825,35825,3490,32336,10273,30,4994,15298,47,10502,16809,0,0,32336,0,32336,0
307,KERALA,KOTTAYAM,2926,197088,25000,222088,35742,0,4836,1401,18,186,42183,42183,3958,38225,7485,16,4898,12398,32,7647,25664,0,0,38225,0,38225,0
308,KERALA,KOZHIKKODE,3364,166180,68050,234230,31090,0,302,1402,384,0,33178,33178,3226,29953,12677,6,4722,17406,58,13759,11465,0,0,29953,0,29953,0
309,KERALA,MALAPPURAM,2726,254181,100800,354981,39261,0,4817,2828,23,715,47644,47644,4635,43009,18654,7,10467,29129,68,21716,10819,0,0,43009,0,43009,0
310,KERALA,PALAKKAD,2183,298228,149394,447622,36109,0,19581,4835,862,0,61387,61387,5735,55652,12315,613,18394,31322,56,13379,23267,0,0,55652,0,55652,0
311,KERALA,PATHANAMTHITTA,2776,129665,133010,262675,22898,0,959,1072,568,375,25872,25872,2484,23387,3508,9,3776,7292,31,3508,16095,0,0,23387,0,23387,0
312,KERALA,THIRUVANANTHAPURAM,1819,194297,24500,218797,22507,0,3149,1223,352,452,27684,27684,2546,25138,10877,9,4892,15778,63,11407,8830,0,0,25138,0,25138,0
313,KERALA,THRISSUR,2966,236685,65700,302385,45239,0,11147,4337,604,1529,62856,62856,5837,57020,11308,52,21115,32475,57,11913,23940,0,0,57020,0,57020,0
314,KERALA,WAYANAD,3060,142762,70300,213062,22539,0,124,427,258,559,23908,23908,2391,21517,3562,1,1682,5245,24,3753,16081,0,0,21517,0,21517,0
315,LADAKH,KARGIL,89,24900,668100,693000,489,,1072,0,,,1561,1561,156,1405,455,18,7,480,34,455,925,0,0,1405,0,1405,0
316,LADAKH,LEH,62,71400,2799200,2870600,980,,4201,0,,,5181,5181,518,4663,1282,50,66,1397,30,1282,3266,0,0,4663,0,4663,0
317,LAKSHDWEEP,AMINI,1806,571,0,571,301,0,0,0,0,0,301,248,120,128,65,0,0,65,51,75,52,0,0,128,0,128,0
318,LAKSHDWEEP,ANDROTH,1806,712,0,712,375,0,0,0,0,0,375,312,150,162,87,0,0,87,54,99,63,0,0,162,0,162,0
319,LAKSHDWEEP,KAVARATTI,1806,634,0,634,334,0,0,0,0,0,334,270,134,136,102,0,0,102,75,117,20,0,0,136,0,136,0
320,LAKSHDWEEP,KILTAN,1806,267,0,267,141,0,0,0,0,0,141,114,56,58,26,0,0,26,44,29,29,0,0,58,0,58,0
321,LAKSHDWEEP,MINICOY,1968,437,0,437,251,0,0,0,0,0,251,199,100,99,58,0,0,58,58,66,33,0,0,99,0,99,0
322,MADHYA PRADESH,AGAR MALWA,962,251576,20617,272193,31097,822,575,9114,883,814,43306,43306,2165,41141,1715,6,36454,38176,93,2025,5678,0,0,41141,0,41141,0
323,MADHYA PRADESH,ALIRAJPUR,918,305400,26400,331800,21272,0,0,1905,487,429,24093,24093,1205,22888,1972,0,7620,9591,42,2515,12754,0,0,22888,0,22888,0
324,MADHYA PRADESH,ANUPPUR,1095,294200,78200,372400,26948,0,0,428,51,234,27661,27661,1383,26278,1596,3929,1713,7238,28,1708,18928,0,0,26278,0,26278,0
325,MADHYA PRADESH,ASHOKNAGAR,913,462244,5150,467394,29635,1078,2913,5646,404,1480,41157,41157,2058,39099,1876,1,22585,24462,63,2284,14229,0,0,39099,0,39099,0
326,MADHYA PRADESH,BALAGHAT,1472,891793,31107,922900,68652,476,574,3789,1213,1189,75892,75892,4367,71525,3941,432,12634,17007,24,4483,53976,0,0,71525,0,71525,0
327,MADHYA PRADESH,BARWANI,715,366831,175369,542200,32945,1079,9670,8206,1403,2755,56057,56057,3089,52969,3882,38,33566,37486,71,5494,18614,0,0,52969,0,52969,0
328,MADHYA PRADESH,BETUL,1081,856450,147850,1004300,83329,222,5458,11627,2500,1343,104478,104478,5289,99189,3819,169,46309,50297,51,4563,48147,0,0,99189,0,99189,0
329,MADHYA PRADESH,BHIND,951,445900,0,445900,80897,6027,3861,5377,52,604,96818,96818,5624,91194,3661,249,26305,30215,33,4432,60209,0,0,91194,0,91194,0
330,MADHYA PRADESH,BHOPAL,1031,264800,12437,277237,29566,0,0,5965,1490,380,38635,38635,1932,36704,5307,851,23859,30018,82,7162,6240,0,0,36704,0,36704,0
331,MADHYA PRADESH,BURHANPUR,884,257050,66250,323300,25524,134,1133,5044,665,5028,37528,37528,1876,35652,1788,71,22745,24604,69,2299,10537,0,0,35652,0,35652,0
332,MADHYA PRADESH,CHHATARPUR,1095,790434,78302,868736,65900,3858,1978,12764,2040,2249,88788,88788,4447,84342,3207,95,51056,54358,64,4066,29125,0,0,84342,0,84342,0
333,MADHYA PRADESH,CHHINDWARA,1222,728278,275222,1003500,73824,563,889,11197,446,1341,88261,88261,5379,82881,4627,549,44819,49995,60,5620,32122,0,0,82881,0,82881,0
334,MADHYA PRADESH,DAMOH,1169,474619,255981,730600,28419,1403,3312,4924,1569,602,40229,40229,2011,38218,2399,308,19697,22404,59,3247,14966,0,0,38218,0,38218,0
335,MADHYA PRADESH,DATIA,964,266200,2900,269100,41487,1082,3395,3349,29,684,50026,50026,3066,46960,1825,33,13868,15727,33,2328,30731,0,0,46960,0,46960,0
336,MADHYA PRADESH,DEWAS,1069,577082,125002,702084,67234,268,885,15641,469,3475,87972,87972,4399,83574,4431,99,62564,67095,80,5526,17772,0,0,83574,0,83574,0
337,MADHYA PRADESH,DHAR,902,812640,2660,815300,85178,3624,24737,20081,2912,1285,137816,137816,6891,130925,6289,635,80323,87247,67,8578,53799,0,0,130925,0,130925,0
338,MADHYA PRADESH,DINDORI,1377,456000,116500,572500,30807,,0,622,,723,32152,32152,1608,30544,1911,0,2486,4398,14,2452,25605,0,0,30544,0,30544,0
339,MADHYA PRADESH,GUNA,1082,617514,21486,639000,67185,2114,3640,13739,1072,3632,91382,91382,4569,86813,2616,260,54956,57832,67,3334,28263,0,0,86813,0,86813,0
340,MADHYA PRADESH,GWALIOR,879,428300,28100,456400,55452,3910,15624,4988,1211,555,82607,82607,4130,78477,5692,293,19951,25936,33,7714,52057,0,0,78477,0,78477,0
341,MADHYA PRADESH,HARDA,1375,270090,62910,333000,28321,7578,7456,3913,53,160,47480,47480,2374,45106,1284,16,15650,16951,38,1625,27815,0,0,45106,0,45106,0
342,MADHYA PRADESH,HOSHANGABAD,1438,558352,112048,670400,136668,17690,20742,11196,126,200,186622,186622,9331,177291,2307,19,44784,47110,27,2579,129908,0,0,177291,0,177291,0
343,MADHYA PRADESH,INDORE,924,381897,7903,389800,41044,53,225,13966,1518,558,58596,58596,2930,55667,8226,1573,55864,65663,118,12515,2527,0,0,55667,0,55667,0
344,MADHYA PRADESH,JABALPUR,1227,443868,78225,522093,52640,319,2808,6944,327,912,64498,64498,3225,61273,5961,339,27777,34077,56,8419,26649,0,0,61273,0,61273,0
345,MADHYA PRADESH,JHABUA,936,311253,34747,346000,23620,139,2064,2401,1369,449,30043,30043,1502,28541,2933,6,9521,12460,44,4253,14760,0,0,28541,0,28541,0
346,MADHYA PRADESH,KATNI,1171,466648,22752,489400,35740,463,1270,3811,523,863,42669,42669,2133,40535,2882,888,15242,19012,47,3703,20703,0,0,40535,0,40535,0
347,MADHYA PRADESH,KHANDWA,952,581446,171004,752450,55029,1495,49405,10473,3336,2549,122288,122288,8914,113374,3159,51,41894,45104,40,4052,67427,0,0,113374,0,113374,0
348,MADHYA PRADESH,KHARGONE,950,656897,146103,803000,57013,3889,20296,9513,3277,6588,100575,100575,5029,95547,4668,78,38051,42797,45,6032,51386,0,0,95547,0,95547,0
349,MADHYA PRADESH,MAIHAR,1076,209985,27872,237857,18080,18,1284,2970,42,279,22672,22672,1497,21176,1897,1094,11879,14869,70,2367,5836,0,0,21176,0,21176,0
350,MADHYA PRADESH,MANDLA,1445,573990,180410,754400,39650,1814,535,1918,715,601,45233,45233,2262,42971,2613,9,7672,10294,24,3213,32077,0,0,42971,0,42971,0
351,MADHYA PRADESH,MANDSAUR,881,495640,57366,553006,47959,328,793,16035,2644,3613,71371,71371,3569,67802,3541,73,64138,67753,100,4146,7623,0,0,67802,0,67802,0
352,MADHYA PRADESH,MAUGANJ,1143,170990,15600,186590,12554,,0,1404,126,154,14237,14237,712,13525,1571,15,5615,7201,53,2085,5810,0,0,13525,0,13525,0
353,MADHYA PRADESH,MORENA,753,438489,58400,496889,53656,13920,3874,4202,391,2053,78096,78096,3905,74191,6081,1369,23817,31266,42,7910,41096,0,0,74191,0,74191,0
354,MADHYA PRADESH,NARSINGHPUR,1243,479100,34200,513300,106115,2076,372,18937,4,107,127611,127611,6381,121230,2404,200,78046,80649,67,2819,40166,0,0,121230,0,121230,0
355,MADHYA PRADESH,NEEMUCH,855,375744,44300,420044,27761,202,448,9056,753,1328,39547,39547,1977,37570,1810,91,36223,38124,101,2114,2470,0,0,37570,0,37570,0
356,MADHYA PRADESH,NIWARI,978,152562,3900,156462,15015,301,569,2959,429,1160,20433,20433,1022,19411,1193,6,11835,13034,67,2012,5559,0,0,19411,0,19411,0
357,MADHYA PRADESH,PANDHURNA,1222,156499,21501,178000,15540,146,345,3246,421,305,20003,20003,1000,19003,910,41,12982,13933,73,994,4986,0,0,19003,0,19003,0
358,MADHYA PRADESH,PANNA,1170,662475,51025,713500,45471,642,1850,4068,886,420,53338,53338,2963,50375,2554,377,16273,19204,38,3174,30550,0,0,50375,0,50375,0
359,MADHYA PRADESH,RAISEN,1155,660940,185700,846640,82743,225,91,11002,2413,571,97046,97046,5460,91585,3545,613,44009,48167,53,4757,42206,0,0,91585,0,91585,0
360,MADHYA PRADESH,RAJGARH,1000,615498,0,615498,73380,,0,18922,736,1599,94636,94636,4732,89905,4286,2,75686,79974,89,5904,10200,0,0,89905,0,89905,0
361,MADHYA PRADESH,RATLAM,954,461600,24500,486100,52693,1008,19,25486,850,4556,84613,84613,4485,80128,4741,42,101945,106727,133,11801,2275,0,0,80128,0,80128,0
362,MADHYA PRADESH,REWA,1143,422770,22000,444770,33087,2227,889,4484,284,395,41366,41366,2068,39297,4312,170,17935,22418,57,5317,15875,0,0,39297,0,39297,0
363,MADHYA PRADESH,SAGAR,1142,925418,99782,1025200,90318,890,1061,14661,1364,849,109144,109144,5824,103319,3916,153,57839,61908,60,5023,40304,0,0,103319,0,103319,0
364,MADHYA PRADESH,SATNA,1076,462121,52038,514159,43251,576,4382,7624,95,1051,56979,56979,2849,54130,3019,544,30497,34060,63,3536,22018,0,0,54130,0,54130,0
365,MADHYA PRADESH,SEHORE,1218,463972,193828,657800,51495,3248,3071,10047,1412,1217,70489,70489,3524,66965,2612,142,40249,43003,64,3348,23369,0,0,66965,0,66965,0
366,MADHYA PRADESH,SEONI,1324,805020,70780,875800,60716,609,851,6750,425,569,69919,69919,3496,66423,3428,12,26735,30176,45,4231,35444,0,0,66423,0,66423,0
367,MADHYA PRADESH,SHAHDOL,1081,497800,86300,584100,46515,457,24,903,179,182,48260,48260,2413,45847,2374,1676,3613,7663,17,2637,37920,0,0,45847,0,45847,0
368,MADHYA PRADESH,SHAJAPUR,962,340617,6708,347325,41799,,0,13583,572,619,56573,56573,2829,53744,2238,55,54330,56623,105,2657,2183,0,0,53744,0,53744,0
369,MADHYA PRADESH,SHEOPUR,799,533480,127120,660600,35227,12745,3259,3666,395,699,55991,55991,4407,51584,1883,45,17717,19645,38,2474,31349,0,0,51584,0,51584,0
370,MADHYA PRADESH,SHIVPURI,995,977049,50751,1027800,68131,1941,2852,12895,1378,4286,91483,91483,6433,85050,4836,43,51578,56457,66,6325,27104,0,0,85050,0,85050,0
371,MADHYA PRADESH,SIDHI,1132,360405,124995,485400,28039,1009,72,2038,340,342,31840,31840,1592,30248,3016,88,8153,11257,37,3374,18633,0,0,30248,0,30248,0
372,MADHYA PRADESH,SINGRAULI,961,451260,115940,567200,32816,121,135,2596,356,477,36500,36500,1825,34675,2770,2222,10384,15376,44,3644,18426,0,0,34675,0,34675,0
373,MADHYA PRADESH,TIKAMGARH,978,335538,12800,348338,28917,477,1555,6888,1795,734,40366,40366,2018,38348,3253,0,27550,30803,80,5930,5982,0,0,38348,0,38348,0
374,MADHYA PRADESH,UJJAIN,968,593933,19090,613023,71057,,0,24527,2355,1894,99834,99834,4992,94842,4001,60,98108,102169,108,4822,9258,0,0,94842,0,94842,0
375,MADHYA PRADESH,UMARIA,1195,421900,32000,453900,34684,0,0,1216,314,161,36375,36375,1819,34556,1632,529,4864,7025,20,1995,27168,0,0,34556,0,34556,0
376,MADHYA PRADESH,VIDISHA,1088,670770,66330,737100,77409,2190,687,13662,421,657,95026,95026,4751,90275,4095,16,54648,58759,65,5230,30453,0,0,90275,0,90275,0
377,MAHARASHTRA,Ahmednagar,573,1562475,0,1562475,103692,3431,18349,28009,2981,6078,162540,162540,8136,154404,6228,0,111540,117769,77,6228,45301,0,0,152671,1733,152671,1733
378,MAHARASHTRA,Akola,782,514165,0,514165,34108,1771,1664,4931,449,2810,45732,45732,3261,42472,2376,1,22377,24753,63,2376,13723,0,0,37491,4981,37491,4981
379,MAHARASHTRA,Amravati,856,839239,0,839239,64336,3024,7881,13582,1322,4066,94210,94210,6920,87290,5251,0,59806,65057,77,5251,23618,0,0,77620,9670,77620,9670
380,MAHARASHTRA,Aurangabad,668,950174,0,950174,79568,605,9781,15944,4037,9462,119396,119396,5976,113420,3463,0,69352,72815,64,3462,40605,0,,113420,,113420,0
381,MAHARASHTRA,Beed,696,1035205,0,1035205,87944,1432,15298,16607,314,9470,131065,131065,6553,124512,4988,40,67892,72920,59,4988,51592,0,,124512,,124512,0
382,MAHARASHTRA,Bhandara,1450,396497,0,396497,32894,1539,47540,6370,1746,3872,93961,93961,6903,87059,3692,171,22252,26115,30,3775,60860,0,,87059,,87059,0
383,MAHARASHTRA,Buldhana,757,820615,0,820615,67882,881,2252,14890,1722,6956,94582,94582,5113,89469,3365,0,60788,64154,72,3365,27329,0,0,87919,1551,87919,1551
384,MAHARASHTRA,Chandrapur,1290,1047657,0,1047657,99641,778,9733,3918,624,1922,116615,116615,6449,110166,17833,24,14945,32803,30,17833,77364,0,,110166,,110166,0
385,MAHARASHTRA,Dhule,643,642132,0,642132,51061,675,10794,8400,587,6520,78037,78037,4060,73978,1756,103,33922,35782,48,1756,38196,0,,73978,,73978,0
386,MAHARASHTRA,Gadchiroli,1303,886649,0,886649,92662,348,3564,8526,1222,1342,107664,107664,6277,101387,4719,2,21812,26533,26,4719,74855,0,,101387,,101387,0
387,MAHARASHTRA,Gondia,1495,459705,0,459705,43290,2001,12741,2727,1789,3840,66387,66387,4264,62123,6030,319,10181,16530,27,6030,45593,0,,62123,,62123,0
388,MAHARASHTRA,Hingoli,967,466241,0,466241,51568,625,35863,9027,63,6052,103198,103198,5210,97988,2159,3,36357,38518,39,2159,59554,0,,97988,,97988,0
389,MAHARASHTRA,Jalgaon,687,1137883,0,1137883,88783,1394,17045,22302,2254,12489,144267,144267,7925,136342,4888,316,101253,106456,78,4888,36967,0,,136342,,136342,0
390,MAHARASHTRA,Jalna,860,771800,0,771800,69329,345,8895,10667,1228,7289,97753,97753,4929,92824,1135,167,44693,45995,50,5262,43919,0,,92824,,92824,0
391,MAHARASHTRA,Kolhapur,1674,562176,0,562176,53857,673,54643,22393,696,3462,135723,135723,7978,127745,2143,0,52194,54337,43,2143,73408,0,,127745,,127745,0
392,MAHARASHTRA,Latur,726,663548,0,663548,47481,619,1298,7929,2259,13979,73565,73565,3809,69756,2200,193,32111,34503,49,2200,35515,0,,69756,,69756,0
393,MAHARASHTRA,Mumbai,2205,7004,0,7004,1365,,0,0,190,,1555,1555,78,1478,619,61,0,680,46,619,798,0,,1478,,1478,0
394,MAHARASHTRA,Mumbai Sub,2142,36494,0,36494,7596,,0,0,240,,7836,7836,573,7264,1788,82,0,1870,26,1788,5394,0,,7264,,7264,0
395,MAHARASHTRA,Nagpur,1165,799042,0,799042,63956,2034,15261,12494,1398,53968,149110,149110,8817,140293,10252,1526,52314,64093,46,10253,76311,0,,140293,,140293,0
396,MAHARASHTRA,Nanded,1024,1017771,0,1017771,106366,1603,6337,8702,273,1706,124989,124989,6332,118657,3386,1,34865,38252,32,3386,80428,0,,118657,,118657,0
397,MAHARASHTRA,Nandurbar,939,415278,0,415278,40084,235,4057,4523,442,2693,52033,52033,2658,49375,2992,0,17627,20619,42,2992,28756,0,,49375,,49375,0
398,MAHARASHTRA,Nashik,982,1348856,0,1348856,136446,2478,23220,28342,3530,7120,201136,201136,11092,190045,3594,1202,104646,109442,58,3594,86314,0,,190045,,190045,0
399,MAHARASHTRA,Osmanabad,769,671628,0,671628,63672,29,26,12119,1364,12783,89993,89993,4536,85457,2316,1,48617,50934,60,2316,34693,0,,85457,,85457,0
400,MAHARASHTRA,Palghar,2504,276086,0,276086,18332,379,1723,971,269,644,22319,22319,1402,20917,1017,44,3887,4948,24,1017,15969,0,,20917,,20917,0
401,MAHARASHTRA,Parbhani,872,621400,0,621400,58767,354,15031,8973,99,3526,86750,86750,4531,82219,1950,0,36212,38162,46,1950,44057,0,,82219,,82219,0
402,MAHARASHTRA,Pune,683,1275728,0,1275728,96985,11153,38278,29353,828,22186,198782,198782,12528,186254,8415,0,116846,125261,63,8415,73357,0,0,182653,3601,182653,3601
403,MAHARASHTRA,Raigad,2962,374759,0,374759,31674,268,3784,1074,339,0,37138,37138,1894,35244,2164,39,4296,6499,18,2164,28774,0,,35244,,35244,0
404,MAHARASHTRA,Ratnagiri,3473,511307,0,511307,38927,142,548,1392,109,229,41347,41347,2301,39046,1335,0,5603,6938,18,1335,32108,0,,39046,,39046,0
405,MAHARASHTRA,Sangli,654,842758,0,842758,57060,3673,51508,17365,1616,13341,144562,144562,8942,135621,3413,0,66660,70073,53,3413,62931,0,0,132751,2869,132751,2869
406,MAHARASHTRA,Satara,1200,877507,0,877507,65463,2905,34349,15056,1554,1851,121178,121178,7664,113514,4967,0,60760,65726,58,4967,48052,0,,113514,,113514,0
407,MAHARASHTRA,Sindhudurg,3465,279306,0,279306,20927,41,188,1910,182,227,23474,23474,1181,22292,2269,7,7638,9915,44,2269,12377,0,,22292,,22292,0
408,MAHARASHTRA,Solapur,664,1483890,0,1483890,95106,2254,12438,24009,262,13671,147742,147742,7387,140354,4853,3,96087,100943,72,4853,42317,0,,140354,,140354,0
409,MAHARASHTRA,Thane,2527,233447,0,233447,14759,46,1294,596,216,368,17279,17279,959,16319,739,0,2384,3123,19,739,13197,0,,16319,,16319,0
410,MAHARASHTRA,Wardha,957,581216,0,581216,52500,1331,8694,9745,301,21358,93929,93929,4901,89028,3455,119,38994,42568,48,3456,46982,0,,89028,,89028,0
411,MAHARASHTRA,Washim,911,481196,0,481196,42607,201,3782,8036,559,8208,63393,63393,3288,60105,2145,9,32144,34298,57,2145,25808,0,,60105,,60105,0
412,MAHARASHTRA,Yawatmal,1009,1144067,0,1144067,104090,528,7223,9323,728,4199,126092,126092,6689,119403,7672,56,37374,45103,38,7672,74305,0,,119403,,119403,0
413,MANIPUR,BISHNUPUR,1988,49600,0,49600,9464,,0,84,135,0,9683,9683,968,8714,263,6,327,596,7,290,8091,190080,0,198794,0,198794,0
414,MANIPUR,CHANDEL,0,0,331300,331300,0,,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
415,MANIPUR,CHURACHANPUR,2133,32100,424900,457000,6574,,0,69,0,0,6643,6643,664,5979,175,18,270,463,8,176,5515,154080,0,160059,0,160059,0
416,MANIPUR,IMPHAL EAST,1717,70900,0,70900,11688,,191,146,663,0,12688,12688,1269,11419,459,30,573,1062,9,462,10354,178544,0,189963,0,189963,0
417,MANIPUR,IMPHAL WEST,1710,51900,0,51900,8520,,0,73,153,0,8745,8745,875,7871,521,24,285,830,11,524,7037,188560,0,196431,0,196431,0
418,MANIPUR,SENAPATI,0,0,327100,327100,0,,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
419,MANIPUR,TAMENGLONG,0,0,439100,439100,0,,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
420,MANIPUR,THOUBAL,1277,51400,0,51400,6300,,0,61,53,0,6415,6415,641,5773,425,0,240,665,12,427,5106,220800,0,226573,0,226573,0
421,MANIPUR,UKHRUL,0,0,454400,454400,0,,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
422,MEGHALAYA,EAST GARO HILLS,2975,50215,94085,144300,7740,,727,0,24,1,8493,8493,849,7643,346,0,0,346,5,488,7155,27214,0,34857,0,34857,0
423,MEGHALAYA,EAST JAINTIA HILLS,2320,82735,121265,204000,16774,,1,0,21,0,16796,16796,1680,15116,195,39,0,234,2,294,14783,21592,0,36708,0,36708,0
424,MEGHALAYA,EAST KHASI HILLS,4032,86732,188068,274800,21764,,10,0,42,2,21817,21817,2182,19636,663,35,0,698,4,879,18721,17362,0,36998,0,36998,0
425,MEGHALAYA,NORTH GARO HILLS,2803,37031,78969,116000,7338,,2496,0,25,0,9860,8730,986,7744,416,81,2,499,6,571,7090,37827,0,45571,0,45571,0
426,MEGHALAYA,RI BHOI,2030,68878,175922,244800,6373,,57,0,53,0,6484,6484,648,5835,322,33,0,355,6,487,5315,10115,0,15951,0,15951,0
427,MEGHALAYA,SOUTH GARO HILLS,4210,65957,122743,188700,23405,,28,0,41,0,23474,23474,2347,21126,257,0,0,257,1,357,20769,31525,0,52652,0,52652,0
428,MEGHALAYA,SOUTH WEST GARO HILLS,1634,42520,44080,86600,7713,,63,179,34,1,7990,4675,799,3876,255,0,512,766,20,289,3075,52551,0,56427,0,56427,0
429,MEGHALAYA,SOUTH WEST KHASI HILLS,3918,48537,85563,134100,14094,,218,0,21,0,14333,14333,1433,12900,138,0,0,138,1,196,12703,9707,0,22607,0,22607,0
430,MEGHALAYA,WEST GARO HILLS,2678,127784,153316,281100,27800,,72,1187,65,0,29125,21959,2913,19047,1007,5,2662,3674,19,1417,14963,88200,0,107246,0,107246,0
431,MEGHALAYA,WEST JAINTIA HILLS,2320,79186,98714,177900,11075,,60,0,29,0,11163,11163,1116,10047,608,3,0,611,6,953,9091,13664,0,23711,0,23711,0
432,MEGHALAYA,WEST KHASI HILLS,4062,123970,266630,390600,31887,,2044,0,34,0,33965,33965,3397,30569,463,0,0,463,2,674,29895,18306,0,48875,0,48875,0
433,MIZORAM,AIZAWL,2204,21734,335866,357600,1523,0,0,0,0,,1523,1523,152,1371,201,0,0,201,15,210,1161,0,0,1371,0,1371,0
434,MIZORAM,CHAMPHAI,1728,28673,289827,318500,1582,0,0,0,0,,1582,1582,158,1424,45,0,0,45,3,46,1378,0,0,1424,0,1424,0
435,MIZORAM,KOLASIB,2205,39515,98685,138200,2776,0,0,0,0,,2776,2776,278,2499,32,0,0,32,1,33,2465,0,0,2499,0,2499,0
436,MIZORAM,LAWNGTLAI,2022,52075,203625,255700,3377,0,0,0,0,,3377,3377,338,3040,104,0,0,104,3,113,2926,0,0,3040,0,3040,0
437,MIZORAM,LUNGLEI,2092,74487,381213,455700,4941,0,0,0,0,,4941,4941,494,4447,191,0,0,191,4,195,4252,0,0,4447,0,4447,0
438,MIZORAM,MAMIT,2242,71631,228769,300400,5176,0,0,0,0,,5176,5176,518,4659,103,0,0,103,2,113,4546,0,0,4659,0,4659,0
439,MIZORAM,SAIHA,2262,10660,129240,139900,773,0,0,0,0,,773,773,77,695,40,0,0,40,6,42,654,0,0,695,0,695,0
440,MIZORAM,SERCHHIP,1747,16166,125934,142100,912,0,0,0,0,,912,912,91,820,48,0,0,48,6,50,771,0,0,820,0,820,0
441,NAGALAND,Dimapur,1745,63046,29654,92700,20582,0,1968,181,0,4,22735,22709,1711,20998,823,3,583,1409,7,1078,19334,197281,0,218279,0,218279,0
442,NAGALAND,Kiphire,1074,3576,109424,113000,191,0,389,0,0,1,580,580,58,522,9,0,0,9,2,9,513,0,0,522,0,522,0
443,NAGALAND,Kohima,1779,28264,118036,146300,2434,0,636,0,0,11,3081,3081,308,2773,216,0,0,216,8,279,2494,0,0,2773,0,2773,0
444,NAGALAND,Longleng,1880,12890,43310,56200,1244,0,300,0,0,0,1544,1544,154,1390,7,0,0,7,0,9,1381,0,0,1390,0,1390,0
445,NAGALAND,Mokokchung,2080,55043,106457,161500,5516,0,719,9,0,1,6245,6245,625,5620,62,0,33,95,2,62,5525,0,0,5620,0,5620,0
446,NAGALAND,Mon,1469,61512,117088,178600,3981,0,447,2,0,1,4430,4430,443,3987,139,0,7,147,4,139,3841,0,0,3987,0,3987,0
447,NAGALAND,Peren,1394,63838,101262,165100,4213,0,261,29,0,0,4504,4504,450,4053,79,0,92,171,4,83,3877,0,0,4053,0,4053,0
448,NAGALAND,Phek,1295,11309,191291,202600,711,0,468,0,0,2,1181,1181,118,1063,38,0,0,38,4,42,1021,0,0,1063,0,1063,0
449,NAGALAND,Tuensang,2080,10123,243477,253600,1070,0,383,0,0,0,1454,1454,145,1308,47,0,0,47,4,50,1258,0,0,1308,0,1308,0
450,NAGALAND,Wokha,2167,66921,95879,162800,7240,0,390,3,0,0,7634,7634,763,6870,169,1,9,178,3,175,6686,0,0,6870,0,6870,0
451,NAGALAND,Zunheboto,2080,8985,116515,125500,949,0,947,0,0,0,1896,1896,190,1706,58,1,0,59,3,58,1647,0,0,1706,0,1706,0
452,ODISHA,ANGUL,1291,508585,130761,639346,42748,356,2563,6104,6505,82,58358,58358,3694,54664,4605,1299,23832,29736,54,6362,23173,0,0,54664,0,54664,0
