S.No,STATE,DISTRICT,Total Rainfall (mm),Recharge Worthy Area (ha),Hilly Area (ha),Total Geographical Area (ha),Goundwater Recharge (ham) - Total Rainfall Recharge,Goundwater Recharge (ham) - Canals,Ground Water Recharge (ham) - Surface Water Irrigation,Ground Water Recharge (ham) - Total Ground Water Irrigration,Ground Water Recharge (ham) - Tanks and Ponds,Ground Water Recharge (ham) - Water Conservation Structure,Ground Water Recharge (ham) - Total,Annual Ground water Recharge (ham),Environmental Flows (ham),Annual Extractable Ground water Resource (ham),Ground Water Extraction for all uses (ham) - Domestic,Ground Water Extraction for all uses (ham) - Industrial,Ground Water Extraction for all uses (ham) - Irrigation,Ground Water Extraction for all uses (ham) - Total,Stage of Ground Water Extraction (%) ,Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),Net Annual Ground Water Availability for Future Use (ham),In-Storage Unconfined Ground Water Resources(ham) - Fresh,In-Storage Unconfined Ground Water Resources(ham) - Saline,Total Ground Water Availability in Unconfined Aquifier (ham) - Fresh,Total Ground Water Availability in Unconfined Aquifier (ham) - Saline,Total Ground Water Availability in the area (ham) - Fresh,Total Ground Water Availability in the area (ham) - Saline
654,UTTAR PRADESH,GHAZIPUR,854,330052,0,330052,58154,16085,12537,17826,501,154,105257,105257,10191,95066,7121,58,50861,58040,61,8915,35233,0,0,95066,0,95066,0
655,UTTAR PRADESH,GONDA,1047,399609,0,399609,85204,19922,81,21330,3120,0,129658,129658,12043,117614,10125,496,61164,71786,61,13610,42344,0,0,117614,0,117614,0
656,UTTAR PRADESH,GORAKHPUR,1338,321087,0,321087,81307,8355,60024,28348,3427,,181461,181461,15943,165518,9665,929,93487,104081,63,11921,59181,0,0,165518,0,165518,0
657,UTTAR PRADESH,HAMIRPUR,736,381540,0,381540,33425,0,4573,5963,604,1735,46300,46300,4630,41670,2233,96,25198,27526,66,2268,14108,0,0,41670,0,41670,0
658,UTTAR PRADESH,HAPUR,788,114481,0,114481,20806,16607,2068,12430,866,5,52783,52783,5278,47505,3,1053,43563,44619,94,4,2885,0,0,47505,0,47505,0
659,UTTAR PRADESH,HARDOI,816,594843,0,594843,98957,36245,10182,32284,2497,,180166,180166,15079,165087,8877,707,92019,101603,62,11109,61252,0,0,165087,0,165087,0
660,UTTAR PRADESH,HATHRAS,619,183799,0,183799,22642,22306,15764,11360,305,93,72470,72470,5913,66556,4266,85,56523,60874,91,4391,9797,0,0,66556,0,66556,0
661,UTTAR PRADESH,JALAUN,687,456583,0,456583,65747,2755,20910,15181,48,0,104641,104641,9854,94787,4419,16,49481,53916,57,4509,40780,0,0,94787,0,94787,0
662,UTTAR PRADESH,JAUNPUR,902,399094,0,399094,71487,23985,15635,21583,1455,98,134243,134243,11489,122753,14021,105,72114,86240,70,17940,32594,0,0,122753,0,122753,0
663,UTTAR PRADESH,JHANSI,765,461937,40463,502400,32106,2923,25959,12172,418,1,73579,73579,6748,66831,3296,61,40822,44179,66,3439,22509,0,0,66831,0,66831,0
664,UTTAR PRADESH,KANNAUJ,715,214346,0,214346,27631,21758,1508,11621,560,46,63123,63123,5442,57680,4533,11,41094,45638,79,4685,17651,0,0,57680,0,57680,0
665,UTTAR PRADESH,KANPUR DEHAT,727,323737,0,323737,47013,14387,8586,15546,440,,85972,85972,8597,77375,4132,363,50708,55203,71,4203,22100,0,0,77375,0,77375,0
666,UTTAR PRADESH,KANPUR NAGAR,710,309483,0,309483,44943,17912,6861,17396,699,117,89299,89299,8230,81069,8152,455,55101,63708,79,9295,16691,0,0,81069,0,81069,0
667,UTTAR PRADESH,KASGANJ,725,199388,0,199388,26173,13608,19043,12968,296,21,72109,72109,4482,67626,4142,8,42788,46938,69,4325,20505,0,0,67626,0,67626,0
